user_id,snapshot_date,days_since_last_purchase,purchases_last_30d,avg_order_value,category,remaining_budget_pct,coupon_offered,order_placed,order_profit
7632,2025-05-04,10,4,46.29,grocery,0.53,5,0,0.0
8043,2025-06-28,0,6,66.83,grocery,0.37,none,0,0.0
4113,2025-05-08,1,4,44.61,fashion,0.5,5,0,0.0
6318,2025-04-30,10,1,62.36,grocery,0.35,none,0,0.0
9492,2025-06-22,6,2,61.13,grocery,0.83,10,0,0.0
7562,2025-05-04,23,2,90.4,electronics,0.3,none,1,26.1
4408,2025-04-07,12,5,115.16,sports,0.89,5,0,0.0
9052,2025-05-13,7,3,11.73,sports,0.41,none,0,0.0
401,2025-06-12,6,2,83.91,beauty,0.75,5,1,24.17
2263,2025-04-18,7,3,53.09,beauty,0.44,none,1,13.85
3276,2025-05-13,3,5,34.82,fashion,0.9,5,0,0.0
3641,2025-04-12,1,4,69.04,beauty,0.76,5,0,0.0
6723,2025-06-02,6,4,57.29,home,0.81,20,0,0.0
7924,2025-05-14,15,2,48.11,fashion,0.56,20,0,0.0
533,2025-05-01,10,0,85.53,fashion,0.9,5,0,0.0
2594,2025-04-21,9,3,83.14,fashion,0.08,none,0,0.0
8180,2025-05-22,16,2,53.81,home,0.73,none,0,0.0
5061,2025-05-31,10,3,67.71,home,0.24,5,0,0.0
3102,2025-06-25,7,1,27.33,home,0.92,20,0,0.0
4435,2025-05-10,7,5,60.35,beauty,0.97,5,0,0.0
6060,2025-04-15,6,5,55.28,beauty,0.38,10,0,0.0
5954,2025-06-15,15,6,87.37,fashion,0.16,5,0,0.0
8293,2025-05-28,6,6,63.12,beauty,0.28,5,0,0.0
9883,2025-06-03,3,3,54.02,electronics,0.33,none,0,0.0
8080,2025-04-09,30,1,94.78,fashion,0.65,none,0,0.0
1038,2025-04-29,0,3,60.68,home,0.61,5,1,15.78
4216,2025-06-09,0,3,74.82,beauty,0.77,10,0,0.0
4847,2025-06-15,16,3,52.84,grocery,0.84,none,0,0.0
6295,2025-05-10,18,1,80.66,electronics,0.7,10,0,0.0
9590,2025-06-13,11,4,60.09,home,0.5,10,0,0.0
4470,2025-06-16,5,6,76.25,grocery,0.13,none,1,27.34
3479,2025-05-06,6,6,61.83,home,0.83,none,1,19.8
9000,2025-06-21,27,3,91.87,sports,0.45,5,0,0.0
7406,2025-04-27,8,1,81.16,beauty,0.49,5,0,0.0
4588,2025-04-22,32,2,45.59,home,0.81,5,0,0.0
9293,2025-06-02,15,2,59.67,electronics,0.76,20,0,0.0
3027,2025-05-28,2,2,90.12,fashion,0.99,5,0,0.0
2407,2025-04-13,9,2,39.35,beauty,0.76,5,0,0.0
215,2025-06-15,0,4,85.81,beauty,0.81,20,0,0.0
814,2025-04-19,4,3,59.13,fashion,0.72,10,0,0.0
8646,2025-06-13,1,1,25.79,grocery,0.85,none,0,0.0
757,2025-04-01,1,3,43.81,sports,0.45,none,0,0.0
7649,2025-06-12,9,6,71.88,home,0.14,none,1,19.8
730,2025-06-11,17,1,45.43,fashion,0.23,10,0,0.0
2303,2025-06-11,13,3,46.65,grocery,0.54,5,0,0.0
3506,2025-05-31,0,2,68.38,home,0.79,none,0,0.0
2148,2025-05-13,3,4,23.08,sports,0.5,5,1,13.21
1263,2025-06-04,2,5,40.85,grocery,0.13,none,0,0.0
9887,2025-04-26,11,3,80.82,electronics,0.83,10,0,0.0
4051,2025-06-11,15,2,69.14,sports,0.8,10,0,0.0
4231,2025-05-21,5,7,37.46,beauty,0.35,none,0,0.0
7542,2025-05-12,11,3,57.17,sports,0.71,5,0,0.0
9140,2025-05-17,4,3,62.13,electronics,0.56,20,1,13.34
2983,2025-05-22,2,3,67.71,sports,0.0,none,0,0.0
4533,2025-04-04,9,2,66.99,beauty,0.53,20,0,0.0
4795,2025-04-13,2,1,92.22,grocery,0.99,5,0,0.0
2607,2025-04-23,1,1,75.82,fashion,0.62,none,0,0.0
1274,2025-04-11,6,1,70.28,home,0.58,20,0,0.0
9211,2025-05-11,5,2,62.12,fashion,0.38,5,0,0.0
6983,2025-05-31,2,1,55.05,grocery,0.46,10,0,0.0
6792,2025-05-30,3,1,47.88,grocery,0.88,20,0,0.0
3177,2025-05-13,2,5,35.95,grocery,0.27,10,0,0.0
6605,2025-06-17,13,2,65.74,beauty,0.54,none,0,0.0
1353,2025-05-22,5,3,56.26,beauty,0.5,20,0,0.0
1181,2025-04-08,12,1,61.05,grocery,0.59,20,0,0.0
9547,2025-06-09,3,0,60.36,grocery,0.72,5,0,0.0
2287,2025-05-23,4,4,90.01,beauty,0.01,none,0,0.0
7697,2025-05-28,11,3,47.32,home,0.78,20,0,0.0
2782,2025-05-22,2,3,56.9,sports,0.97,none,0,0.0
6524,2025-05-21,10,3,76.24,sports,0.04,5,0,0.0
6121,2025-04-09,15,3,15.6,beauty,0.75,none,0,0.0
7230,2025-05-21,5,3,56.02,home,0.88,10,0,0.0
9538,2025-06-12,2,5,57.96,sports,0.5,10,0,0.0
4255,2025-04-28,46,3,99.09,home,0.18,none,0,0.0
8660,2025-05-25,4,4,59.4,sports,0.66,10,0,0.0
2984,2025-04-03,2,6,32.04,fashion,0.39,5,0,0.0
9638,2025-05-02,9,3,92.04,beauty,0.82,none,0,0.0
5000,2025-05-10,29,3,89.91,grocery,0.11,none,0,0.0
8442,2025-06-29,20,1,38.34,home,0.66,none,0,0.0
8253,2025-04-20,2,1,83.81,sports,0.32,10,0,0.0
6346,2025-04-26,10,3,58.57,beauty,0.37,none,0,0.0
9638,2025-05-08,5,1,61.08,sports,0.62,10,0,0.0
6754,2025-06-30,14,3,44.05,fashion,0.09,5,0,0.0
6053,2025-06-17,1,5,48.06,beauty,0.87,none,0,0.0
2532,2025-04-04,6,3,68.2,electronics,0.2,5,0,0.0
3764,2025-04-22,0,2,57.74,home,0.06,none,0,0.0
62,2025-06-14,10,4,98.05,beauty,0.75,20,0,0.0
7183,2025-04-06,38,0,35.15,home,0.85,none,0,0.0
6069,2025-06-17,4,5,47.64,beauty,0.55,10,1,8.8
6971,2025-04-26,21,2,99.93,electronics,0.4,5,1,26.25
6288,2025-06-23,0,5,56.62,beauty,0.41,none,1,18.05
2475,2025-04-27,19,4,70.38,sports,0.11,10,0,0.0
10000,2025-05-10,0,5,56.05,grocery,0.74,none,0,0.0
4356,2025-05-31,2,4,29.43,beauty,0.74,5,0,0.0
6996,2025-04-12,9,4,52.8,fashion,0.02,none,0,0.0
1341,2025-05-21,0,4,95.42,sports,0.14,none,0,0.0
5968,2025-05-16,4,1,54.54,beauty,0.28,10,0,0.0
4023,2025-06-11,15,2,36.77,sports,0.49,10,1,8.13
9278,2025-06-30,0,1,61.91,beauty,0.68,5,0,0.0
7628,2025-05-31,11,1,58.28,beauty,0.43,5,0,0.0
9347,2025-05-08,1,5,58.85,sports,0.38,none,0,0.0
3140,2025-05-07,3,4,58.71,electronics,0.78,10,0,0.0
6601,2025-05-09,2,2,20.42,home,0.75,none,1,7.43
6331,2025-06-14,0,2,25.17,fashion,0.79,10,1,7.17
2511,2025-04-30,3,2,65.41,grocery,0.74,5,0,0.0
3277,2025-04-16,17,4,65.67,beauty,0.58,5,1,19.3
6749,2025-05-01,12,5,55.26,home,0.68,5,0,0.0
1472,2025-04-03,4,5,74.62,fashion,0.83,none,0,0.0
4001,2025-04-10,6,1,35.54,beauty,0.09,none,0,0.0
7414,2025-04-09,8,1,59.43,beauty,0.27,5,0,0.0
8412,2025-06-10,9,2,72.48,fashion,0.19,10,0,0.0
5894,2025-06-05,18,3,29.97,beauty,0.36,20,0,0.0
6694,2025-06-03,0,0,70.51,beauty,0.65,10,0,0.0
8255,2025-05-13,31,2,44.06,home,0.5,20,0,0.0
2312,2025-06-05,2,4,31.76,home,0.18,none,1,6.0
6790,2025-04-15,6,2,84.68,electronics,0.73,5,0,0.0
7358,2025-06-21,9,5,68.76,sports,0.89,none,0,0.0
8172,2025-05-16,4,3,92.98,sports,0.1,none,0,0.0
6083,2025-06-25,9,3,23.48,electronics,0.2,5,0,0.0
1550,2025-04-14,1,5,85.19,grocery,0.4,5,0,0.0
505,2025-05-16,3,5,85.26,grocery,0.55,20,0,0.0
6146,2025-06-03,0,2,49.43,fashion,0.71,none,0,0.0
2769,2025-05-16,0,6,88.02,electronics,0.14,10,1,27.93
3674,2025-05-11,26,0,77.46,grocery,0.77,none,0,0.0
4619,2025-04-16,1,7,79.24,home,0.86,20,0,0.0
7466,2025-05-05,15,1,46.88,beauty,0.73,5,1,10.33
3544,2025-04-22,3,3,10.0,home,0.63,10,0,0.0
5801,2025-04-28,9,3,73.53,electronics,0.64,5,0,0.0
4979,2025-06-02,2,3,77.59,grocery,0.01,none,0,0.0
542,2025-05-28,24,3,53.36,electronics,0.26,10,0,0.0
6915,2025-05-26,2,2,66.88,beauty,0.93,none,0,0.0
5336,2025-05-03,6,0,44.72,beauty,0.36,none,0,0.0
2208,2025-06-27,25,2,41.3,grocery,0.49,none,0,0.0
7443,2025-04-08,7,0,59.12,home,0.25,20,0,0.0
998,2025-05-02,6,2,43.26,electronics,0.25,none,0,0.0
2628,2025-04-11,1,3,107.92,fashion,0.13,none,0,0.0
2391,2025-05-01,8,0,73.57,sports,0.08,none,0,0.0
6546,2025-06-27,13,2,54.58,beauty,0.75,none,0,0.0
9900,2025-05-04,6,2,45.98,grocery,0.14,5,0,0.0
8410,2025-06-22,1,5,38.76,grocery,0.86,20,1,9.16
1384,2025-05-16,7,3,58.51,home,0.14,5,0,0.0
652,2025-06-03,0,1,124.77,beauty,0.53,10,0,0.0
7891,2025-05-12,5,3,102.59,fashion,0.96,20,0,0.0
5781,2025-04-25,21,2,71.66,grocery,0.93,none,0,0.0
3587,2025-06-09,1,3,73.63,electronics,0.62,20,1,22.27
8877,2025-06-28,12,5,60.8,beauty,0.57,5,0,0.0
1784,2025-04-24,10,1,54.13,grocery,0.17,5,0,0.0
1265,2025-06-10,4,2,83.71,sports,0.51,5,0,0.0
4998,2025-04-24,15,1,42.91,electronics,0.7,20,0,0.0
2693,2025-06-05,7,2,63.28,grocery,0.84,none,0,0.0
2323,2025-06-11,8,3,55.44,sports,0.91,20,0,0.0
6260,2025-05-11,7,2,69.46,sports,0.7,5,0,0.0
3048,2025-06-07,24,2,53.99,home,0.56,5,1,11.09
5852,2025-04-25,2,2,86.28,fashion,0.68,5,0,0.0
5669,2025-04-08,3,4,53.52,fashion,0.68,none,0,0.0
7934,2025-04-09,2,2,51.1,grocery,0.04,5,0,0.0
9760,2025-05-11,1,4,92.82,sports,0.86,20,0,0.0
6291,2025-06-22,0,2,72.49,electronics,0.28,5,0,0.0
2870,2025-04-12,2,3,118.74,home,0.96,5,0,0.0
5759,2025-05-12,0,1,46.72,sports,0.51,20,0,0.0
4824,2025-06-04,34,0,66.49,electronics,0.39,none,1,22.7
4519,2025-04-19,20,0,37.15,sports,0.74,20,0,0.0
3449,2025-06-05,47,2,66.63,fashion,0.58,20,0,0.0
783,2025-04-28,21,3,47.72,electronics,0.71,5,0,0.0
2467,2025-06-13,15,2,52.99,grocery,0.95,10,0,0.0
5911,2025-05-23,7,3,79.38,fashion,0.19,none,0,0.0
707,2025-05-20,6,3,32.01,beauty,0.41,5,0,0.0
1567,2025-04-17,12,0,75.97,home,0.76,5,0,0.0
5704,2025-05-13,6,3,36.05,beauty,0.87,20,0,0.0
9959,2025-06-17,17,1,39.6,home,0.34,none,0,0.0
1670,2025-04-02,9,1,83.01,home,0.82,10,0,0.0
786,2025-06-09,8,3,75.68,grocery,0.42,20,0,0.0
3497,2025-05-15,9,3,91.11,beauty,0.65,none,0,0.0
758,2025-06-05,3,3,35.06,fashion,0.09,none,0,0.0
8962,2025-05-31,4,3,65.7,sports,0.78,10,0,0.0
7874,2025-05-10,4,3,75.36,fashion,0.74,5,0,0.0
1168,2025-04-29,5,1,46.84,grocery,0.24,none,0,0.0
1012,2025-05-28,5,4,92.17,fashion,0.7,20,1,35.78
5410,2025-04-13,2,3,12.77,home,0.32,5,0,0.0
4051,2025-05-24,4,4,14.94,grocery,0.65,5,0,0.0
6935,2025-04-09,41,1,63.18,beauty,0.75,20,0,0.0
9275,2025-05-30,3,5,91.48,home,0.53,20,1,21.14
3342,2025-05-28,17,2,53.57,beauty,0.04,5,0,0.0
7879,2025-04-08,12,6,42.71,home,0.3,none,1,9.08
3330,2025-06-08,5,1,36.36,sports,0.74,10,0,0.0
2329,2025-05-08,1,3,44.45,fashion,0.94,20,0,0.0
9706,2025-06-11,6,4,89.13,grocery,0.53,5,0,0.0
2511,2025-04-04,22,5,50.77,home,0.06,10,0,0.0
1433,2025-04-17,23,2,43.08,sports,0.68,10,0,0.0
5923,2025-05-15,1,7,120.65,sports,0.04,5,0,0.0
5957,2025-04-18,21,3,59.53,fashion,0.61,none,0,0.0
4865,2025-05-01,38,0,32.11,sports,0.31,none,0,0.0
873,2025-05-31,33,1,60.4,home,0.54,5,0,0.0
1168,2025-04-14,15,2,104.93,electronics,0.4,10,0,0.0
7577,2025-06-01,15,3,45.04,fashion,0.06,none,0,0.0
1587,2025-04-10,12,2,25.09,grocery,0.76,5,1,12.6
2760,2025-04-16,4,3,51.18,home,0.5,none,0,0.0
8029,2025-05-24,1,5,76.41,grocery,0.28,none,0,0.0
3384,2025-06-12,8,9,80.82,grocery,0.44,5,1,32.55
3448,2025-04-16,2,3,42.72,beauty,0.68,none,0,0.0
9163,2025-04-28,0,2,96.72,sports,0.3,none,0,0.0
7991,2025-06-24,12,3,97.87,grocery,0.02,none,0,0.0
7084,2025-06-30,11,4,43.44,home,0.04,none,0,0.0
1899,2025-05-23,36,4,50.96,home,0.33,none,0,0.0
2846,2025-05-11,4,1,45.45,fashion,0.91,10,0,0.0
5995,2025-05-02,4,3,61.09,fashion,0.63,none,0,0.0
8388,2025-05-26,7,3,48.5,sports,0.85,10,1,21.18
5052,2025-05-24,13,2,51.64,fashion,0.45,10,0,0.0
7438,2025-04-27,46,2,52.05,grocery,0.08,5,0,0.0
3264,2025-04-03,3,4,74.53,sports,0.38,none,0,0.0
3656,2025-04-14,33,0,76.65,grocery,0.29,none,0,0.0
6086,2025-06-27,14,2,44.86,beauty,0.94,5,0,0.0
5669,2025-05-09,19,3,99.53,home,0.43,none,1,29.64
1246,2025-05-14,19,2,63.58,home,0.96,5,0,0.0
3886,2025-05-13,5,6,87.12,fashion,0.44,none,0,0.0
8565,2025-06-11,20,3,58.51,sports,0.45,none,1,14.67
5335,2025-04-06,2,2,51.52,grocery,0.81,10,0,0.0
7434,2025-04-08,12,4,61.02,home,0.81,10,0,0.0
8266,2025-04-26,9,2,75.31,beauty,0.93,none,0,0.0
2870,2025-05-15,0,4,63.99,electronics,0.28,5,0,0.0
2349,2025-06-01,12,4,76.36,electronics,0.1,none,0,0.0
5802,2025-05-15,8,8,82.75,fashion,0.28,5,1,30.73
4797,2025-05-11,1,0,71.12,electronics,0.35,5,0,0.0
9022,2025-06-25,16,3,66.91,home,0.05,none,0,0.0
1827,2025-04-15,3,4,61.88,grocery,0.95,10,1,22.05
4224,2025-05-23,15,3,81.57,sports,0.77,5,0,0.0
487,2025-05-20,0,4,96.81,sports,0.23,none,0,0.0
3634,2025-05-14,12,2,53.49,sports,0.08,none,0,0.0
5874,2025-06-13,7,4,43.57,grocery,0.33,10,0,0.0
7990,2025-04-25,27,4,38.05,home,0.12,none,0,0.0
8442,2025-06-26,15,0,66.41,electronics,0.7,20,0,0.0
12,2025-05-01,3,1,68.05,sports,0.26,5,0,0.0
8722,2025-05-20,6,4,71.53,grocery,0.35,none,0,0.0
6864,2025-05-18,15,1,103.01,sports,0.56,20,0,0.0
2016,2025-06-17,6,4,73.12,electronics,0.52,10,0,0.0
2159,2025-05-10,1,3,73.75,home,0.63,10,0,0.0
7770,2025-04-26,2,6,85.37,sports,0.45,none,0,0.0
6943,2025-04-02,26,4,27.32,home,0.03,none,0,0.0
2061,2025-05-04,16,2,57.52,beauty,0.15,none,0,0.0
4380,2025-06-15,4,4,12.95,beauty,0.59,5,0,0.0
8586,2025-04-01,1,2,48.1,home,0.43,5,0,0.0
203,2025-06-21,5,1,61.04,grocery,0.87,10,0,0.0
5114,2025-05-20,26,4,52.34,electronics,0.83,5,0,0.0
8743,2025-04-13,3,2,48.71,grocery,0.16,none,0,0.0
40,2025-04-28,2,4,10.0,sports,0.06,none,0,0.0
5466,2025-05-21,16,2,82.17,home,0.23,20,0,0.0
5587,2025-04-29,18,1,88.94,home,0.05,5,0,0.0
3137,2025-04-10,1,5,53.05,beauty,0.71,10,0,0.0
5393,2025-05-31,0,3,95.88,beauty,0.37,5,1,29.02
7034,2025-06-01,2,4,81.97,sports,0.79,10,0,0.0
2837,2025-04-11,1,4,22.55,electronics,0.13,none,0,0.0
4960,2025-04-26,13,8,56.78,fashion,0.6,10,0,0.0
5366,2025-04-23,45,0,83.18,beauty,0.64,20,0,0.0
350,2025-05-31,2,2,72.82,fashion,0.31,none,0,0.0
2127,2025-06-06,4,2,74.57,sports,0.61,5,0,0.0
6503,2025-06-06,0,2,80.1,electronics,0.71,none,0,0.0
4891,2025-06-25,1,2,50.53,electronics,0.88,10,0,0.0
9696,2025-06-09,22,0,26.95,fashion,0.34,5,0,0.0
8503,2025-04-30,14,2,53.11,electronics,0.04,5,1,11.64
2220,2025-04-10,3,3,54.59,beauty,0.23,5,0,0.0
9973,2025-05-26,22,4,71.52,sports,0.41,5,1,18.98
8630,2025-06-23,22,0,60.86,electronics,0.58,5,0,0.0
4206,2025-06-28,0,3,70.13,grocery,0.65,20,0,0.0
6210,2025-04-21,15,0,69.96,sports,0.25,20,0,0.0
2798,2025-04-22,2,1,31.5,electronics,0.31,10,0,0.0
779,2025-04-04,5,2,41.29,electronics,0.73,20,0,0.0
2375,2025-04-13,1,4,59.11,electronics,0.87,none,0,0.0
7300,2025-05-21,6,1,64.3,sports,0.03,none,0,0.0
5710,2025-05-20,13,3,75.67,sports,0.2,none,0,0.0
4415,2025-05-04,1,3,38.5,grocery,0.94,none,0,0.0
4809,2025-04-29,21,2,76.07,sports,0.93,10,0,0.0
7938,2025-06-15,5,3,54.77,beauty,0.54,5,1,10.14
6961,2025-05-12,2,3,42.49,sports,0.73,10,1,11.28
6358,2025-06-13,3,3,48.43,electronics,0.54,none,0,0.0
5014,2025-06-27,2,5,96.46,sports,0.54,10,0,0.0
28,2025-04-29,5,2,74.36,beauty,0.01,none,1,18.61
3337,2025-04-19,0,1,42.56,beauty,0.87,5,0,0.0
1263,2025-06-26,3,5,98.67,sports,0.25,none,0,0.0
7742,2025-05-28,6,4,66.54,fashion,0.21,5,1,12.25
3525,2025-04-27,1,5,69.77,electronics,0.38,5,0,0.0
2450,2025-05-27,25,1,63.22,home,0.02,5,0,0.0
4819,2025-05-17,17,1,59.09,home,0.2,5,0,0.0
4800,2025-06-22,13,4,44.44,electronics,0.01,none,0,0.0
9322,2025-04-24,11,2,54.41,home,0.71,5,0,0.0
1788,2025-06-30,9,4,77.9,fashion,0.88,20,0,0.0
8220,2025-06-25,1,8,71.68,electronics,0.55,10,0,0.0
2159,2025-04-17,10,6,47.41,home,0.35,none,0,0.0
8017,2025-04-15,14,3,52.97,electronics,0.09,none,1,10.87
5383,2025-05-19,1,4,50.84,fashion,0.27,5,0,0.0
5396,2025-04-05,3,2,101.11,grocery,0.66,none,0,0.0
7050,2025-04-28,1,2,65.54,beauty,0.0,none,0,0.0
929,2025-05-10,0,3,29.84,beauty,0.03,none,0,0.0
7972,2025-06-28,1,4,69.47,beauty,0.91,10,1,17.48
7459,2025-06-30,0,4,54.55,electronics,0.93,5,0,0.0
1985,2025-04-14,2,2,68.9,home,0.1,none,0,0.0
866,2025-06-21,1,2,67.27,electronics,0.13,none,0,0.0
7234,2025-04-09,8,5,30.4,grocery,0.51,20,1,11.77
915,2025-06-08,8,4,70.22,electronics,0.11,none,0,0.0
5800,2025-06-16,1,3,73.33,home,0.94,10,0,0.0
2551,2025-06-21,5,0,100.16,fashion,0.57,5,0,0.0
7182,2025-04-21,6,1,79.91,electronics,0.88,none,1,32.19
9226,2025-06-21,12,3,66.93,home,0.91,20,0,0.0
8417,2025-04-11,2,2,53.16,grocery,0.75,none,0,0.0
7500,2025-05-18,13,2,59.23,electronics,0.18,10,0,0.0
6427,2025-05-13,9,2,68.11,sports,0.15,none,0,0.0
767,2025-04-29,7,3,62.14,electronics,0.77,none,0,0.0
9500,2025-04-03,16,0,67.18,grocery,0.16,none,1,19.45
9190,2025-06-10,1,2,59.58,sports,0.05,none,0,0.0
624,2025-05-01,0,3,30.21,grocery,0.01,none,0,0.0
7834,2025-05-31,4,4,62.7,grocery,0.16,none,0,0.0
1070,2025-05-08,5,2,20.02,sports,0.51,none,0,0.0
6037,2025-05-05,8,2,60.73,sports,0.81,none,0,0.0
2497,2025-06-20,3,2,86.26,electronics,0.62,10,0,0.0
1270,2025-04-09,7,4,64.22,electronics,0.33,none,0,0.0
2304,2025-06-07,4,4,46.79,beauty,0.38,none,0,0.0
3202,2025-06-07,3,1,42.57,electronics,0.53,10,0,0.0
3493,2025-05-05,6,8,68.6,home,0.44,20,0,0.0
3007,2025-04-24,4,2,96.89,fashion,0.41,20,0,0.0
4630,2025-04-01,11,2,67.39,home,0.55,none,0,0.0
6401,2025-06-25,2,3,49.13,sports,0.75,20,0,0.0
4641,2025-06-26,3,3,60.63,home,0.82,20,0,0.0
5879,2025-04-22,0,3,88.58,home,0.1,none,0,0.0
3850,2025-04-03,21,3,53.1,grocery,0.74,none,1,19.75
2773,2025-04-12,2,4,36.7,sports,0.48,20,0,0.0
1481,2025-04-07,6,3,67.21,grocery,0.17,none,0,0.0
3111,2025-06-15,6,6,55.46,fashion,0.02,none,1,8.83
1923,2025-06-21,0,1,43.96,grocery,0.28,5,0,0.0
5185,2025-04-14,14,1,58.6,sports,0.02,5,0,0.0
6546,2025-06-07,8,3,33.71,home,0.96,none,0,0.0
8455,2025-04-17,6,2,86.19,sports,0.74,5,0,0.0
2949,2025-05-04,1,3,52.1,sports,0.1,5,1,17.1
1263,2025-05-25,0,4,54.14,electronics,0.96,20,0,0.0
8154,2025-06-05,5,5,63.51,grocery,0.19,10,1,22.57
7258,2025-06-19,5,4,33.55,beauty,0.47,none,0,0.0
3167,2025-04-05,5,3,35.98,fashion,0.84,20,0,0.0
9957,2025-04-18,9,3,62.78,electronics,0.05,none,0,0.0
6417,2025-04-26,8,1,61.0,grocery,0.14,5,0,0.0
7498,2025-04-29,1,6,33.59,fashion,0.54,10,0,0.0
3513,2025-06-30,3,2,45.33,home,0.86,5,0,0.0
4416,2025-06-10,3,3,93.41,beauty,0.16,5,0,0.0
3492,2025-04-30,2,2,68.5,home,0.13,5,0,0.0
7317,2025-06-28,14,1,31.7,beauty,0.48,none,0,0.0
8150,2025-05-16,0,0,45.51,grocery,0.57,5,1,18.38
8607,2025-05-16,6,1,57.16,sports,0.25,5,0,0.0
3324,2025-05-10,7,0,46.6,grocery,0.31,5,0,0.0
7686,2025-04-14,14,4,73.29,grocery,0.86,5,0,0.0
6836,2025-06-25,15,3,51.81,grocery,0.64,5,0,0.0
128,2025-04-02,16,3,107.55,electronics,0.16,5,0,0.0
7951,2025-04-16,14,2,37.65,beauty,0.25,5,0,0.0
1315,2025-04-21,13,3,75.69,fashion,0.49,none,0,0.0
1286,2025-04-26,6,0,16.02,fashion,0.74,none,0,0.0
1072,2025-04-12,1,0,51.78,beauty,0.13,none,0,0.0
5492,2025-04-02,13,3,64.39,grocery,0.59,5,0,0.0
